Startup name,Region,Industry,Funding Rounds,Funding Amount (M USD),Valuation (M USD),Revenue (M USD),Employees,Market Share (%),Profitable,Exit Status,years
Startup_0,Africa,Healthtech,1,34.56,35.52,15.78,392,12.95,0,IPO,12
Startup_1,South America,SaaS,4,37.32,30.92,3.48,12,5.4,0,IPO,3
Startup_2,Asia,Biotech,5,2.52,34.83,14.26,45,13.49,1,Operating,5
Startup_3,South America,E-commerce,2,37.96,83.87,3.04,371,27.6,1,IPO,10
Startup_4,South America,AI,4,0.24,24.67,3.71,26,1.67,0,Acquired,3
Startup_5,Europe,E-commerce,4,38.7,40.15,16.99,100,4.73,0,Closed,9
Startup_6,Asia,Biotech,3,6.15,46.67,8.78,287,17.41,0,Operating,3
Startup_7,Asia,E-commerce,4,17.26,142.63,3.59,62,24.77,1,Acquired,7
Startup_8,Asia,AI,2,0.19,53.17,12.03,138,24.51,0,Operating,6
Startup_9,South America,E-commerce,2,26.3,7.0,19.49,163,6.6,1,Operating,13
Startup_10,Africa,AI,3,11.3,43.67,8.16,63,9.03,0,Acquired,3
Startup_11,Asia,Biotech,3,37.39,54.22,2.47,264,3.39,0,Acquired,0
Startup_12,South America,AI,2,16.22,0.48,8.67,435,19.97,0,IPO,14
Startup_13,Europe,SaaS,2,35.99,3.91,8.81,107,9.5,1,Closed,10
Startup_14,Africa,SaaS,6,18.92,0.96,9.97,226,15.91,1,Acquired,0
Startup_15,Europe,AI,2,27.4,2.47,15.18,175,12.25,0,IPO,7
Startup_16,Africa,Healthtech,4,27.56,4.7,39.54,377,17.09,1,IPO,14
Startup_17,South America,Edtech,2,5.66,158.29,1.16,357,19.15,0,Operating,12
Startup_18,USA,Healthtech,4,17.22,11.58,2.13,355,25.05,0,Operating,7
Startup_19,Africa,AI,3,41.41,11.44,16.87,320,36.77,1,Acquired,9
Startup_20,Europe,Edtech,0,42.22,97.39,7.53,416,11.53,0,Operating,14
Startup_21,South America,SaaS,4,9.71,69.87,13.69,477,4.77,0,Acquired,12
Startup_22,Africa,Edtech,2,7.86,56.32,5.38,254,16.64,0,Acquired,9
Startup_23,USA,AI,2,21.22,27.39,18.25,67,4.84,0,Operating,9
Startup_24,USA,SaaS,3,30.15,1.58,5.47,405,27.34,1,Closed,8
Startup_25,Asia,Edtech,6,0.72,87.59,29.32,253,12.17,1,IPO,3
Startup_26,Asia,Edtech,5,1.96,98.59,4.96,99,9.34,0,Operating,8
Startup_27,Europe,Healthtech,5,30.17,32.87,3.3,54,16.3,1,IPO,2
Startup_28,Africa,Edtech,0,11.48,51.77,1.08,104,7.75,1,Acquired,13
Startup_29,Africa,Biotech,4,22.03,32.47,18.87,370,16.88,0,Acquired,5
Startup_30,Asia,AI,4,34.34,17.56,29.83,239,28.14,0,Acquired,2
Startup_31,Africa,Fintech,3,28.28,38.86,22.47,21,12.55,0,Operating,4
Startup_32,Africa,Fintech,4,33.18,58.33,14.27,398,6.24,0,Operating,9
Startup_33,USA,Fintech,2,14.43,8.39,5.66,119,3.75,0,Operating,12
Startup_34,Asia,AI,2,3.43,37.83,3.68,308,12.02,0,IPO,7
Startup_35,South America,Fintech,1,12.83,74.8,3.35,410,3.54,0,Operating,8
Startup_36,Asia,Healthtech,5,66.09,32.27,14.25,324,4.0,0,Acquired,7
Startup_37,South America,AI,2,7.29,8.53,4.23,227,6.2,1,Operating,7
Startup_38,USA,Biotech,0,10.87,101.91,15.38,418,15.11,1,Acquired,9
Startup_39,Europe,SaaS,3,29.0,56.02,40.33,280,13.13,1,Operating,3
Startup_40,Africa,Biotech,3,1.58,50.06,2.09,18,16.48,1,Acquired,12
Startup_41,USA,AI,4,28.3,52.73,1.21,275,12.08,1,Operating,6
Startup_42,Africa,AI,2,6.41,14.06,1.27,257,60.5,1,Operating,3
Startup_43,Europe,Edtech,4,6.22,33.89,0.61,303,5.34,0,Closed,8
Startup_44,Europe,Edtech,4,17.47,19.73,11.74,317,13.8,1,Closed,0
Startup_45,USA,Edtech,0,5.9,89.65,8.99,407,7.84,0,Operating,2
Startup_46,Europe,E-commerce,1,20.5,44.43,8.31,441,8.94,1,IPO,3
Startup_47,South America,Healthtech,4,47.91,63.17,8.71,300,7.94,0,IPO,4
Startup_48,Europe,AI,1,10.37,53.98,0.72,99,19.98,0,Operating,10
Startup_49,Africa,Biotech,3,57.49,33.06,3.44,233,4.12,1,IPO,11
Startup_50,Africa,AI,2,57.04,81.7,3.09,411,7.09,0,IPO,0
Startup_51,Africa,Edtech,3,4.65,47.77,6.52,368,8.38,0,Acquired,12
Startup_52,Africa,AI,0,11.31,12.86,21.12,210,7.62,1,Acquired,7
Startup_53,South America,SaaS,0,92.33,17.18,35.81,26,14.86,1,Acquired,11
Startup_54,Asia,AI,4,2.75,87.71,9.47,226,12.71,0,Operating,9
Startup_55,USA,Biotech,1,12.9,141.71,2.83,244,11.87,0,Closed,14
Startup_56,Africa,Fintech,2,11.31,39.7,4.79,204,12.18,0,IPO,3
Startup_57,Europe,SaaS,1,33.21,24.35,3.94,496,10.06,0,Acquired,9
Startup_58,Africa,SaaS,5,3.54,49.04,2.28,35,51.9,1,Acquired,8
Startup_59,Europe,AI,1,5.01,33.03,38.4,276,5.94,1,Operating,8
Startup_60,Europe,E-commerce,3,3.86,92.16,1.41,58,20.89,0,IPO,5
Startup_61,Africa,Edtech,2,3.65,89.49,8.36,363,25.08,0,Closed,1
Startup_62,South America,Healthtech,3,5.96,30.45,16.03,412,13.86,1,Operating,7
Startup_63,Europe,Healthtech,1,15.02,81.63,28.06,25,3.83,1,IPO,1
Startup_64,Europe,Fintech,5,24.54,10.72,2.24,332,3.74,0,Operating,0
Startup_65,Africa,Healthtech,1,9.57,23.41,2.14,470,7.95,0,Operating,13
Startup_66,Europe,Healthtech,3,11.82,4.15,6.88,42,14.97,1,IPO,8
Startup_67,Europe,Edtech,4,31.44,82.46,4.85,330,7.04,1,Operating,10
Startup_68,Africa,Edtech,4,14.9,184.93,2.87,146,7.43,0,Operating,6
Startup_69,Africa,E-commerce,1,17.82,42.99,0.99,123,19.64,1,Acquired,10
Startup_70,USA,Biotech,4,14.6,72.73,4.54,162,22.62,0,Operating,8
Startup_71,South America,Fintech,1,31.19,25.67,3.31,466,3.43,0,Operating,8
Startup_72,South America,Healthtech,2,4.05,41.23,1.89,267,25.3,1,Operating,7
Startup_73,Europe,E-commerce,3,79.53,21.34,4.59,264,12.42,1,IPO,9
Startup_74,South America,Fintech,5,42.31,59.68,0.85,381,13.23,0,Operating,12
Startup_75,Europe,SaaS,3,10.23,14.13,24.9,87,5.07,0,Operating,5
Startup_76,USA,Healthtech,5,10.73,8.32,9.14,285,18.66,1,Closed,4
Startup_77,Africa,Healthtech,1,37.81,114.41,6.52,413,5.79,1,Operating,14
Startup_78,Africa,Edtech,2,11.8,99.86,1.39,407,27.1,0,IPO,14
Startup_79,Africa,AI,2,14.19,90.08,15.03,290,2.52,0,Acquired,0
Startup_80,South America,Fintech,4,27.41,86.17,0.78,175,21.12,1,Operating,8
Startup_81,USA,Healthtech,1,9.82,65.38,42.06,354,10.36,1,Operating,2
Startup_82,South America,Fintech,2,12.1,103.88,18.5,19,14.86,0,Operating,5
Startup_83,South America,Biotech,1,0.76,11.8,6.37,436,35.56,0,Acquired,13
Startup_84,USA,E-commerce,2,2.86,102.17,11.14,289,25.18,1,Operating,13
Startup_85,USA,E-commerce,4,12.27,124.92,0.93,487,33.05,1,Acquired,3
Startup_86,USA,AI,1,0.93,62.94,6.7,165,23.65,1,Operating,7
Startup_87,USA,Healthtech,8,7.33,45.73,17.12,299,36.09,0,Operating,1
Startup_88,Africa,Biotech,6,11.5,13.46,0.81,300,34.84,0,Acquired,7
Startup_89,Asia,Edtech,4,2.14,100.56,2.45,27,4.5,0,Operating,3
Startup_90,Asia,Healthtech,4,1.35,43.0,15.02,475,13.37,0,Closed,12
Startup_91,USA,Fintech,2,0.33,47.17,6.13,322,1.92,1,Operating,5
Startup_92,Asia,SaaS,3,13.28,46.64,10.93,431,7.89,0,Operating,5
Startup_93,Asia,E-commerce,5,3.18,100.79,17.05,196,26.56,0,Operating,10
Startup_94,USA,Fintech,3,23.33,7.37,1.57,105,27.04,1,IPO,2
Startup_95,Asia,AI,3,13.58,3.18,6.32,123,1.83,0,Operating,10
Startup_96,South America,E-commerce,1,0.38,12.68,8.27,302,24.04,0,Closed,4
Startup_97,Europe,Edtech,3,1.22,33.84,9.54,312,13.43,0,Acquired,12
Startup_98,Europe,E-commerce,3,49.97,31.69,18.82,354,1.2,0,Acquired,1
Startup_99,USA,SaaS,3,2.66,35.88,6.47,340,29.92,0,Operating,2
Startup_100,Africa,Biotech,3,28.32,6.07,3.82,131,11.17,0,Operating,13
Startup_101,USA,Healthtech,2,5.65,78.73,16.21,293,21.29,0,Closed,7
Startup_102,Africa,SaaS,3,7.76,17.99,22.72,351,28.79,0,Operating,2
Startup_103,Europe,Biotech,3,0.5,122.22,4.44,398,12.69,0,Operating,11
Startup_104,USA,SaaS,5,16.25,91.62,12.96,152,16.81,1,Acquired,11
Startup_105,South America,Healthtech,1,12.59,3.28,2.38,67,37.33,0,Operating,7
Startup_106,Asia,E-commerce,3,27.33,2.75,0.94,136,4.09,0,IPO,10
Startup_107,Africa,AI,5,47.22,49.57,4.72,472,2.93,0,Acquired,6
Startup_108,Asia,Healthtech,2,15.87,4.02,5.22,147,18.04,1,Acquired,7
Startup_109,Asia,Healthtech,2,60.84,42.41,1.21,234,8.38,1,Operating,7
Startup_110,USA,Biotech,2,3.21,4.12,1.08,275,17.62,0,Operating,5
Startup_111,Asia,Edtech,3,8.45,32.63,12.25,323,7.23,0,IPO,14
Startup_112,South America,E-commerce,1,35.42,27.16,12.69,435,19.8,0,Acquired,7
Startup_113,Asia,Healthtech,2,16.12,44.69,0.75,405,18.4,1,Acquired,5
Startup_114,USA,AI,1,15.84,22.02,7.07,472,5.75,0,Operating,5
Startup_115,South America,Fintech,2,12.34,7.54,8.2,258,5.86,1,IPO,13
Startup_116,Europe,E-commerce,2,0.38,92.29,6.9,309,23.16,0,Operating,0
Startup_117,Asia,Edtech,2,1.68,17.78,38.72,21,19.34,1,IPO,10
Startup_118,USA,SaaS,3,1.88,3.49,6.12,272,19.69,0,Operating,5
Startup_119,Europe,Healthtech,2,4.2,34.72,7.88,15,45.88,0,IPO,8
Startup_120,Europe,AI,1,1.98,105.05,3.71,226,17.13,0,Closed,14
Startup_121,Africa,E-commerce,4,2.25,16.48,2.91,158,23.65,0,Acquired,3
Startup_122,South America,AI,3,20.26,29.96,17.09,125,12.05,1,IPO,1
Startup_123,Asia,AI,3,2.52,25.76,26.3,372,33.69,1,Acquired,14
Startup_124,USA,Biotech,1,12.51,2.48,3.88,349,5.0,1,Operating,12
Startup_125,Africa,SaaS,7,1.3,101.38,18.82,433,18.72,1,Operating,6
